QUOTE_CONVERSION;SERVICE_NOTIFICATION;ORDER;CUSTOMER;QUANTITY;DESCRIPTION;QUOTE_COUNT;CUSTOMER_SALES_SHARE;COUNTRY_SALES_SHARE;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;SEGMENT;CONCERN;KEY_ACCOUNT;COUNTRY;COUNTRY_CLUSTERED
Failure;343;;72;1;SP;1;0,011354609;0,149340658;1;1;Rendering;1;1;FR;FR
Failure;344;;25;4;SP;1;0,002652777;0,031120862;0,556038095;1;Oilseed;0;0;US;US
Success;345;167;73;0;SP;1;0,005132408;0,24288004;1,016573302;0,596956138;Rendering;1;1;DE;DE
Failure;346;;73;6;SP;1;0,005132408;0,24288004;0,954450489;0,903361345;Rendering;1;1;DE;DE
Failure;347;;73;1;SP;1;0,005132408;0,24288004;1,101929926;1;Rendering;1;1;DE;DE
Success;348;168;73;2;SP;1;0,005132408;0,24288004;0,791227027;1;Rendering;1;1;DE;DE
Success;349;169;74;0;SP;1;0,006753649;0,09008607;0,984862312;0,666150271;Rendering;1;1;PL;PL
Success;350;170;74;1;SP;1;0,006753649;0,09008607;0,965680993;0,372737809;Rendering;1;1;PL;PL
Success;351;171;74;2;SP;1;0,006753649;0,09008607;1,100177531;0,322456817;Rendering;1;1;PL;PL
Failure;352;;25;1;SP;1;0,002652777;0,031120862;0,896882283;1;Oilseed;0;0;US;US
Success;353;172;75;0;SP;1;0,005203563;0,023240521;0,726096269;1;Rendering;1;1;NO;Other
Success;354;173;76;1;SP;1;0,003556921;0,24288004;0,987125969;0,34282343;Rendering;1;1;DE;DE
Failure;355;;76;2;SP;1;0,003556921;0,24288004;1,203419132;0,992441553;Rendering;1;1;DE;DE
Success;356;174;76;0;SP;1;0,003556921;0,24288004;1,127765587;0,980137931;Rendering;1;1;DE;DE
Failure;357;;25;1;SP;1;0,002652777;0,031120862;1,550557245;1;Oilseed;0;0;US;US
Success;358;175;77;0;SP;1;0,009222167;0,09008607;1,021358565;0,566951932;Rendering;1;1;PL;PL
Success;359;176;25;0;SP;1;0,002652777;0,031120862;1,214387079;0,920187793;Oilseed;0;0;US;US
Failure;360;;78;50;SP;1;0,003002838;0,24288004;1,090110465;0,345264841;Rendering;0;0;DE;DE
Success;361;177;78;0;SP;1;0,003002838;0,24288004;1,001904451;1;Rendering;0;0;DE;DE
Success;362;178;79;0;SP;1;0,006330976;0,149340658;0,622003087;1;Rendering;1;1;FR;FR
Failure;363;;79;1;SP;1;0,006330976;0,149340658;0,649095655;1;Rendering;1;1;FR;FR
Success;364;;79;1;SP;1;0,006330976;0,149340658;0,888606264;0,960965435;Rendering;1;1;FR;FR
Failure;365;;79;1;SP;1;0,006330976;0,149340658;1,114301535;0,281183797;Rendering;1;1;FR;FR
