Meldung;Kundenauftrag;Kunde;Bezugsmenge;Bezeichnung;Anzahl Angebote;Angebotserfolg;Umsatzanteil_Kunde;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;KNA1.Land;KNA1.Ist-Konzern;KNA1.KEY_ACCOUNT;KNA1.Umsatzanteil_Land;EQUI.Kundenbranche;Land_Neu
1515;698;139;1;SP;1;Success;0,019538491;1,086651094;0,335186554;DK;1;0;0,032064225;Oilseed;Other
1516;699;212;0;SP;1;Success;0,001363665;0,61498616;0,450611142;US;1;0;0,031120862;Oilseed;US
1517;700;212;0;SP;1;Success;0,001363665;0,715615172;0,626752619;US;1;0;0,031120862;Oilseed;US
1518;701;50;0;SV;1;Success;0,00282042;2,263147587;1;DE;1;1;0,24288004;Rendering;DE
1519;;202;1;SV;1;Failure;0,002650587;0,970538809;0,467150788;IE;0;0;0,00528089;Rendering;Other
1520;702;98;75;SP;1;Success;0,003216046;0,952023785;0,419453244;DE;0;0;0,24288004;Rendering;DE
1521;;153;1;SP;1;Failure;0,008503882;1,016320441;0,291608877;IT;0;0;0,021159902;Oilseed;Other
1522;;153;1;SV;1;Failure;0,008503882;1,033868152;0,326128884;IT;0;0;0,021159902;Oilseed;Other
1523;;179;1;Other;1;Failure;0,008894011;1,003261244;0,853280696;FR;1;1;0,149340658;Rendering;FR
1524;;211;1;SP;1;Failure;0,000138693;0,541882864;1;CA;1;0;0,002185249;Oilseed;Other
1525;;19;5;SP;1;Failure;0,016754912;1,07305879;0,241181166;HU;1;1;0,049273194;Oilseed;Other
1526;703;96;0;SV;1;Success;0,004160797;0,9123681;1;DE;0;0;0,24288004;Rendering;DE
1527;;110;1;SP;1;Failure;0,000790028;1,034919434;0,259821139;DE;0;0;0,24288004;Oilseed;DE
1528;704;139;1;SP;1;Success;0,019538491;1,194341158;1;DK;1;0;0,032064225;Oilseed;Other
1529;;61;1;SP;1;Failure;0,01832899;0,924947854;1;AU;1;1;0,021779501;Oilseed;Other
1530;;72;1;SP;2;Failure;0,023541794;1;1;FR;1;1;0,149340658;Rendering;FR
1531;705;27;0;SP;1;Success;0,01795518;2,506166653;1;DE;1;1;0,24288004;Oilseed;DE
1532;;106;2;SP;1;Success;0,001861453;0,854843251;1;NG;0;0;0,001861453;Oilseed;Other
1533;;153;50;SP;1;Failure;0,008503882;1,010453679;0,345347433;IT;0;0;0,021159902;Oilseed;Other
1534;706;109;0;SP;1;Success;0,00010732;0,9551526;0,531343284;AT;1;1;0,017650065;Rendering;Other
